Player,Level,Pair_Label,From,To,Seq,X,Y,Timestamp
surya,1,1 → 2,1,2,1,838.1,585.8,1.663
surya,1,1 → 2,1,2,1,853.8,585.8,1.666
surya,1,1 → 2,1,2,1,866.8,591.0,1.669
surya,1,1 → 2,1,2,1,882.4,593.6,1.671
surya,1,1 → 2,1,2,1,892.8,596.2,1.674
surya,1,1 → 2,1,2,1,903.2,596.2,1.677
surya,1,1 → 2,1,2,1,918.9,598.8,1.679
surya,1,1 → 2,1,2,1,929.3,598.8,1.682
surya,1,1 → 2,1,2,1,939.7,598.8,1.684
surya,1,1 → 2,1,2,1,947.5,598.8,1.687
surya,1,1 → 2,1,2,1,952.7,598.8,1.690
surya,1,1 → 2,1,2,1,957.9,598.8,1.692
surya,1,1 → 2,1,2,1,963.1,598.8,1.695
surya,1,1 → 2,1,2,1,965.7,598.8,1.698
surya,1,1 → 2,1,2,1,970.9,598.8,1.700
surya,1,1 → 2,1,2,1,976.1,598.8,1.703
surya,1,1 → 2,1,2,1,978.7,598.8,1.705
surya,1,1 → 2,1,2,1,986.6,598.8,1.708
surya,1,1 → 2,1,2,1,997.0,598.8,1.711
surya,1,1 → 2,1,2,1,1007.4,598.8,1.713
surya,1,1 → 2,1,2,1,1017.8,598.8,1.716
surya,1,1 → 2,1,2,1,1025.6,601.4,1.719
surya,1,1 → 2,1,2,1,1033.4,601.4,1.721
surya,1,1 → 2,1,2,1,1036.0,604.1,1.724
surya,1,1 → 2,1,2,1,1038.6,604.1,1.726
surya,1,1 → 2,1,2,1,1041.2,604.1,1.729
surya,1,1 → 2,1,2,1,1043.8,606.7,1.732
surya,1,1 → 2,1,2,1,1049.0,606.7,1.734
surya,1,1 → 2,1,2,1,1056.9,609.3,1.737
surya,1,1 → 2,1,2,1,1059.5,611.9,1.739
surya,1,1 → 2,1,2,1,1064.7,614.5,1.742
surya,1,1 → 2,1,2,1,1069.9,617.1,1.745
surya,1,1 → 2,1,2,1,1072.5,617.1,1.747
surya,1,1 → 2,1,2,1,1075.1,619.7,1.750
surya,1,1 → 2,1,2,1,1077.7,619.7,1.753
surya,1,1 → 2,1,2,1,1077.7,622.3,1.755
surya,1,2 → 3,2,3,2,1077.7,622.3,2.542
surya,1,2 → 3,2,3,2,1067.3,609.3,2.544
surya,1,2 → 3,2,3,2,1059.5,596.2,2.547
surya,1,2 → 3,2,3,2,1051.6,583.2,2.549
surya,1,2 → 3,2,3,2,1036.0,554.6,2.551
surya,1,2 → 3,2,3,2,1025.6,531.1,2.553
surya,1,2 → 3,2,3,2,1015.2,510.3,2.556
surya,1,2 → 3,2,3,2,1010.0,505.1,2.558
surya,1,2 → 3,2,3,2,1010.0,499.9,2.560
surya,1,2 → 3,2,3,2,1007.4,486.9,2.563
surya,1,2 → 3,2,3,2,1007.4,481.7,2.565
surya,1,2 → 3,2,3,2,1007.4,476.5,2.567
surya,1,2 → 3,2,3,2,1004.8,471.3,2.569
surya,1,2 → 3,2,3,2,1004.8,468.7,2.572
surya,1,2 → 3,2,3,2,1002.2,463.5,2.574
surya,1,2 → 3,2,3,2,1002.2,460.8,2.576
surya,1,2 → 3,2,3,2,1002.2,455.6,2.579
surya,1,2 → 3,2,3,2,1002.2,450.4,2.581
surya,1,2 → 3,2,3,2,1002.2,447.8,2.583
surya,1,2 → 3,2,3,2,1002.2,445.2,2.585
surya,1,2 → 3,2,3,2,1002.2,440.0,2.588
surya,1,2 → 3,2,3,2,1002.2,437.4,2.590
surya,1,3 → 4,3,4,3,1004.8,447.8,3.215
surya,1,3 → 4,3,4,3,1017.8,447.8,3.218
surya,1,3 → 4,3,4,3,1025.6,445.2,3.220
surya,1,3 → 4,3,4,3,1036.0,442.6,3.222
surya,1,3 → 4,3,4,3,1049.0,440.0,3.225
surya,1,3 → 4,3,4,3,1069.9,432.2,3.227
surya,1,3 → 4,3,4,3,1090.7,429.6,3.229
surya,1,3 → 4,3,4,3,1114.1,421.8,3.232
surya,1,3 → 4,3,4,3,1140.2,416.6,3.234
surya,1,3 → 4,3,4,3,1168.8,411.4,3.236
surya,1,3 → 4,3,4,3,1220.9,403.6,3.239
surya,1,3 → 4,3,4,3,1241.7,398.4,3.241
surya,1,3 → 4,3,4,3,1259.9,398.4,3.243
surya,1,3 → 4,3,4,3,1283.4,395.8,3.246
surya,1,3 → 4,3,4,3,1288.6,395.8,3.248
surya,1,3 → 4,3,4,3,1293.8,395.8,3.250
surya,1,3 → 4,3,4,3,1296.4,395.8,3.253
surya,1,3 → 4,3,4,3,1299.0,395.8,3.255
surya,1,3 → 4,3,4,3,1293.8,395.8,3.257
